category_code,category_name_en,category_name_ar,category_sort_order,category_is_active,group_code,group_name_en,group_name_ar,group_sort_order,group_is_active,type_code,type_name_en,type_name_ar,type_abbrev,type_default_price,type_sample_type,type_default_tube_type,type_default_tube_color,type_turnaround_hours,type_special_type,type_sort_order,type_is_active,type_notes,type_report_name_line1,type_report_name_line2,type_bill_name_line1,type_bill_name_line2,type_history_name,type_collection_notes,type_collection_type_id,type_outside_lab_name,type_outside_cost_price,type_patient_question,type_reference_type,type_barcode_name,type_is_routine_test,type_see_report,type_print_with_other,type_add_with_group,type_is_main_test,type_is_send_outside,type_behavior,component_code,component_name_en,component_name_ar,component_unit,component_result_type,component_decimal_places,component_sort_order,component_is_active,range_sex,range_age_from_days,range_age_to_days,range_age_from_value,range_age_to_value,range_age_description,range_for_pregnant_only,range_age_unit,range_low_flag,range_high_flag,range_low_comment,range_high_comment,range_critical_range_text,range_critical_flag,range_critical_comment,range_fasting_state,range_low_normal,range_high_normal,range_low_critical,range_high_critical,range_normal_range_text,range_note,range_unit,range_version,range_is_active,source_status,seed_decision
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CAI,"Calcium, Ionized, Serum",,CAI,0.00,Serum,Serum,,24,STANDARD,6,1,,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CAI,"Calcium, Ionized, Serum",,mg/dL,NUMERIC,2,6,1,B,1095,8395,3,23,3-23 year,,year,,,,,,,,A,4.83,5.52,,,4.83-5.52 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CAI,"Calcium, Ionized, Serum",,CAI,0.00,Serum,Serum,,24,STANDARD,6,1,,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CAI,"Calcium, Ionized, Serum",,mg/dL,NUMERIC,2,6,1,B,8760,35405,24,97,24-97 year,,year,,,,,,,,A,4.57,5.43,,,4.57-5.43 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CAI,"Calcium, Ionized, Serum",,CAI,0.00,Serum,Serum,,24,STANDARD,6,1,,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CAI,"Calcium, Ionized, Serum",,mg/dL,NUMERIC,2,6,1,B,35770,36500,98,,98+ year,,year,,,,,,,,A,,,,,Not established,Not established (per Mayo),,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,MGS,"Magnesium, Serum",,MGS,0.00,Serum,Serum,,24,STANDARD,7,1,,"Magnesium, Serum",,"Magnesium, Serum",,"Magnesium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,MGS,"Magnesium, Serum",,mg/dL,NUMERIC,1,7,1,B,0,730,0,2,0-2 year,,year,,,,,,,,A,1.6,2.7,,,1.6-2.7 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,MGS,"Magnesium, Serum",,MGS,0.00,Serum,Serum,,24,STANDARD,7,1,,"Magnesium, Serum",,"Magnesium, Serum",,"Magnesium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,MGS,"Magnesium, Serum",,mg/dL,NUMERIC,1,7,1,B,1095,1825,3,5,3-5 year,,year,,,,,,,,A,1.6,2.6,,,1.6-2.6 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,MGS,"Magnesium, Serum",,MGS,0.00,Serum,Serum,,24,STANDARD,7,1,,"Magnesium, Serum",,"Magnesium, Serum",,"Magnesium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,MGS,"Magnesium, Serum",,mg/dL,NUMERIC,1,7,1,B,2190,2920,6,8,6-8 year,,year,,,,,,,,A,1.6,2.5,,,1.6-2.5 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,MGS,"Magnesium, Serum",,MGS,0.00,Serum,Serum,,24,STANDARD,7,1,,"Magnesium, Serum",,"Magnesium, Serum",,"Magnesium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,MGS,"Magnesium, Serum",,mg/dL,NUMERIC,1,7,1,B,3285,4015,9,11,9-11 year,,year,,,,,,,,A,1.6,2.4,,,1.6-2.4 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,MGS,"Magnesium, Serum",,MGS,0.00,Serum,Serum,,24,STANDARD,7,1,,"Magnesium, Serum",,"Magnesium, Serum",,"Magnesium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,MGS,"Magnesium, Serum",,mg/dL,NUMERIC,1,7,1,B,4380,6205,12,17,12-17 year,,year,,,,,,,,A,1.6,2.3,,,1.6-2.3 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,MGS,"Magnesium, Serum",,MGS,0.00,Serum,Serum,,24,STANDARD,7,1,,"Magnesium, Serum",,"Magnesium, Serum",,"Magnesium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,MGS,"Magnesium, Serum",,mg/dL,NUMERIC,1,7,1,B,6205,36500,17,,17+ year,,year,,,,,,,,A,1.7,2.3,,,1.7-2.3 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,RENAL,Renal Function,,2,1,URIC,"Uric Acid, Serum",,URIC,0.00,Serum,Serum,,24,STANDARD,8,1,,"Uric Acid, Serum",,"Uric Acid, Serum",,"Uric Acid, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,URIC,"Uric Acid, Serum",,mg/dL,NUMERIC,1,8,1,M,365,3650,1,10,1-10 year,,year,,,,,,,,A,2.4,5.4,,,2.4-5.4 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,RENAL,Renal Function,,2,1,URIC,"Uric Acid, Serum",,URIC,0.00,Serum,Serum,,24,STANDARD,8,1,,"Uric Acid, Serum",,"Uric Acid, Serum",,"Uric Acid, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,URIC,"Uric Acid, Serum",,mg/dL,NUMERIC,1,8,1,M,5840,36500,16,,16+ year,,year,,,,,,,,A,3.7,8.0,,,3.7-8.0 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,RENAL,Renal Function,,2,1,URIC,"Uric Acid, Serum",,URIC,0.00,Serum,Serum,,24,STANDARD,8,1,,"Uric Acid, Serum",,"Uric Acid, Serum",,"Uric Acid, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,URIC,"Uric Acid, Serum",,mg/dL,NUMERIC,1,8,1,F,2555,2920,7,8,7-8 year,,year,,,,,,,,A,2.3,5.5,,,2.3-5.5 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,RENAL,Renal Function,,2,1,URIC,"Uric Acid, Serum",,URIC,0.00,Serum,Serum,,24,STANDARD,8,1,,"Uric Acid, Serum",,"Uric Acid, Serum",,"Uric Acid, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,URIC,"Uric Acid, Serum",,mg/dL,NUMERIC,1,8,1,F,3285,3650,9,10,9-10 year,,year,,,,,,,,A,2.3,5.7,,,2.3-5.7 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,RENAL,Renal Function,,2,1,URIC,"Uric Acid, Serum",,URIC,0.00,Serum,Serum,,24,STANDARD,8,1,,"Uric Acid, Serum",,"Uric Acid, Serum",,"Uric Acid, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,URIC,"Uric Acid, Serum",,mg/dL,NUMERIC,1,8,1,F,4745,36500,13,,13+ year,,year,,,,,,,,A,2.7,6.1,,,2.7-6.1 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,LIVER,Liver Function,,3,1,ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",,ALT,0.00,Serum,Serum,,24,STANDARD,9,1,,"Alanine Aminotransferase (ALT) (GPT), Serum",,"Alanine Aminotransferase (ALT) (GPT), Serum",,"Alanine Aminotransferase (ALT) (GPT), Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",,U/L,NUMERIC,1,9,1,M,365,36500,1,,1+ year,,year,,,,,,,,A,7.0,55.0,,,7-55 U/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,LIVER,Liver Function,,3,1,ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",,ALT,0.00,Serum,Serum,,24,STANDARD,9,1,,"Alanine Aminotransferase (ALT) (GPT), Serum",,"Alanine Aminotransferase (ALT) (GPT), Serum",,"Alanine Aminotransferase (ALT) (GPT), Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",,U/L,NUMERIC,1,9,1,F,365,36500,1,,1+ year,,year,,,,,,,,A,7.0,45.0,,,7-45 U/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,LIVER,Liver Function,,3,1,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,AST,0.00,Serum,Serum,,24,STANDARD,10,1,,"Aspartate Aminotransferase (AST) (GOT), Serum",,"Aspartate Aminotransferase (AST) (GOT), Serum",,"Aspartate Aminotransferase (AST) (GOT), Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,U/L,NUMERIC,1,10,1,M,0,330,0,11,0-11 month,,month,,,,,,,,A,,,,,not established,Not established (per Mayo),,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,LIVER,Liver Function,,3,1,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,AST,0.00,Serum,Serum,,24,STANDARD,10,1,,"Aspartate Aminotransferase (AST) (GOT), Serum",,"Aspartate Aminotransferase (AST) (GOT), Serum",,"Aspartate Aminotransferase (AST) (GOT), Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,U/L,NUMERIC,1,10,1,M,365,4745,1,13,1-13 year,,year,,,,,,,,A,8.0,60.0,,,8-60 U/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,LIVER,Liver Function,,3,1,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,AST,0.00,Serum,Serum,,24,STANDARD,10,1,,"Aspartate Aminotransferase (AST) (GOT), Serum",,"Aspartate Aminotransferase (AST) (GOT), Serum",,"Aspartate Aminotransferase (AST) (GOT), Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,U/L,NUMERIC,1,10,1,M,5110,36500,14,,14+ year,,year,,,,,,,,A,8.0,48.0,,,8-48 U/L,,,1,1,OK,KEEP
