category_code,category_name_en,group_code,group_name_en,type_code,type_name_en,component_code,component_name_en,unit,result_type,sex,age_from_days,age_to_days,age_from_value,age_to_value,age_unit,low_normal,high_normal,normal_range_text,range_note,status
CHEM,Clinical Chemistry,LIVER,Liver Function,ALP,"Alkaline Phosphatase, Serum",ALP,"Alkaline Phosphatase, Serum",U/L,NUMERIC,M,0,14,0,14,day,83.0,248.0,83-248 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,ALP,"Alkaline Phosphatase, Serum",ALP,"Alkaline Phosphatase, Serum",U/L,NUMERIC,M,6935,36500,19,,year,40.0,129.0,40-129 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,ALP,"Alkaline Phosphatase, Serum",ALP,"Alkaline Phosphatase, Serum",U/L,NUMERIC,F,0,14,0,14,day,83.0,248.0,83-248 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,ALP,"Alkaline Phosphatase, Serum",ALP,"Alkaline Phosphatase, Serum",U/L,NUMERIC,F,6205,36500,17,,year,35.0,104.0,35-104 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,BILIT,"Bilirubin, Total, Serum",BILIT,"Bilirubin, Total, Serum",,NUMERIC,B,0,6,0,6,day,,,Refer to www.bilitool.org for information on age-specific (postnatal hour of life) serum,COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,BILIT,"Bilirubin, Total, Serum",BILIT,"Bilirubin, Total, Serum",mg/dL,NUMERIC,B,7,14,7,14,day,0.0,14.9,0.0-14.9 mg/dL,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,BILIT,"Bilirubin, Total, Serum",BILIT,"Bilirubin, Total, Serum",mg/dL,NUMERIC,B,6570,36500,18,,year,0.0,1.2,0.0-1.2 mg/dL,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,BILID,"Bilirubin, Direct, Serum",BILID,"Bilirubin, Direct, Serum",mg/dL,NUMERIC,B,360,36500,12,,month,0.0,0.3,0.0-0.3 mg/dL,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,TP,"Protein, Total, Serum",TP,"Protein, Total, Serum",g/dL,NUMERIC,B,365,36500,1,,year,6.3,7.9,6.3-7.9 g/dL,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,ALB,"Albumin, Serum",ALB,"Albumin, Serum",g/dL,NUMERIC,B,360,36500,12,,month,3.5,5.0,3.5-5.0 g/dL,,OK
CHEM,Clinical Chemistry,GLUC,Glucose & Diabetes,HBA1C,"Hemoglobin A1c, Blood",HBA1C,"Hemoglobin A1c, Blood",%,NUMERIC,B,0,36500,,,,4.0,5.6,4.0-5.6%,,OK
CHEM,Clinical Chemistry,GLUC,Glucose & Diabetes,HBA1C,"Hemoglobin A1c, Blood",HBA1C,"Hemoglobin A1c, Blood",,NUMERIC,B,0,6569,0,18,year,,,Hemoglobin A1c criteria for diagnosing diabetes have not been established for patients who,COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,GLUC,Glucose & Diabetes,HBA1C,"Hemoglobin A1c, Blood",HBA1C,"Hemoglobin A1c, Blood",,NUMERIC,B,6570,36500,18,,year,,,Increased risk for diabetes (prediabetes): 5.7-6.4%,COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,GLUC,Glucose & Diabetes,CPR,"C-Peptide, Serum",CPR,"C-Peptide, Serum",ng/mL,NUMERIC,B,0,36500,,,,1.1,4.4,1.1-4.4 ng/mL,,OK
CHEM,Clinical Chemistry,GLUC,Glucose & Diabetes,INS,"Insulin, Serum",INS,"Insulin, Serum",mcIU/mL,NUMERIC,B,0,36500,,,,2.6,24.9,2.6-24.9 mcIU/mL,,OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,CHOL,"Cholesterol, Total, Serum",CHOL,"Cholesterol, Total, Serum",,NUMERIC,B,,,,,,,,The National Lipid Association and the National Cholesterol Education Program have set the following |         guidelines for lipids in a context of cardiovascular disease for adults 18 years old and older: |  |         TOTAL CHOLESTEROL |  |         Desirable: <200 mg/dL |  |         Borderline High: 200-239 mg/,COMPLEX/NARRATIVE TEXT - manual review required,COMPLEX
CHEM,Clinical Chemistry,LIPID,Lipid Profile,HDCH,"Cholesterol, High-Density Lipoprotein (HDL), Serum",HDCH,"Cholesterol, High-Density Lipoprotein (HDL), Serum",mg/dL,NUMERIC,M,0,36500,,,,40.0,,> or =40 mg/dL,"Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,HDCH,"Cholesterol, High-Density Lipoprotein (HDL), Serum",HDCH,"Cholesterol, High-Density Lipoprotein (HDL), Serum",mg/dL,NUMERIC,F,0,36500,,,,50.0,,> or =50 mg/dL,"Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,TRIG1,"Triglycerides, Serum",TRIG1,"Triglycerides, Serum",mg/dL,NUMERIC,B,730,3285,2,9,year,,75.0,<75 mg/dL,"Acceptable (per Mayo); Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,TRIG1,"Triglycerides, Serum",TRIG1,"Triglycerides, Serum",mg/dL,NUMERIC,B,730,3285,2,9,year,75.0,99.0,75-99 mg/dL,Borderline High (per Mayo),OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,TRIG1,"Triglycerides, Serum",TRIG1,"Triglycerides, Serum",mg/dL,NUMERIC,B,730,3285,2,9,year,100.0,,> or =100 mg/dL,"High (per Mayo); Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,TRIG1,"Triglycerides, Serum",TRIG1,"Triglycerides, Serum",mg/dL,NUMERIC,B,3650,6205,10,17,year,,90.0,<90 mg/dL,"Acceptable (per Mayo); Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,TRIG1,"Triglycerides, Serum",TRIG1,"Triglycerides, Serum",mg/dL,NUMERIC,B,3650,6205,10,17,year,90.0,129.0,90-129 mg/dL,Borderline High (per Mayo),OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,TRIG1,"Triglycerides, Serum",TRIG1,"Triglycerides, Serum",mg/dL,NUMERIC,B,3650,6205,10,17,year,130.0,,> or =130 mg/dL,"High (per Mayo); Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,FLDLD,"LDL Cholesterol, Direct",FLDLD,"LDL Cholesterol, Direct",,NUMERIC,B,0,6935,0,19,year,,,109 mg/dL or less,Desirable (per Mayo); COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,FLDLD,"LDL Cholesterol, Direct",FLDLD,"LDL Cholesterol, Direct",mg/dL,NUMERIC,B,0,6935,0,19,year,110.0,129.0,110-129 mg/dL,Borderline (per Mayo),OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,FLDLD,"LDL Cholesterol, Direct",FLDLD,"LDL Cholesterol, Direct",,NUMERIC,B,0,6935,0,19,year,,,130 mg/dL or greater,Higher risk (per Mayo); COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,FLDLD,"LDL Cholesterol, Direct",FLDLD,"LDL Cholesterol, Direct",,NUMERIC,B,0,6935,0,19,year,,,20 years and older:,COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,FLDLD,"LDL Cholesterol, Direct",FLDLD,"LDL Cholesterol, Direct",,NUMERIC,B,0,6935,0,19,year,,,129 mg/dL or less (99 mg/dL or less if patient has CHD),Desirable (per Mayo); COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,FLDLD,"LDL Cholesterol, Direct",FLDLD,"LDL Cholesterol, Direct",mg/dL,NUMERIC,B,0,6935,0,19,year,130.0,159.0,130-159 mg/dL,Borderline (per Mayo),OK
CHEM,Clinical Chemistry,LIPID,Lipid Profile,FLDLD,"LDL Cholesterol, Direct",FLDLD,"LDL Cholesterol, Direct",,NUMERIC,B,0,6935,0,19,year,,,160 mg/dL or greater,Higher risk (per Mayo); COMPLEX TEXT - manual review required,OK
CHEM,Clinical Chemistry,CARD,Cardiac Markers,CK,"Creatine Kinase (CK), Serum",CK,"Creatine Kinase (CK), Serum",U/L,NUMERIC,M,90,36500,3,,month,39.0,308.0,39-308 U/L,,OK
CHEM,Clinical Chemistry,CARD,Cardiac Markers,CK,"Creatine Kinase (CK), Serum",CK,"Creatine Kinase (CK), Serum",U/L,NUMERIC,F,90,36500,3,,month,26.0,192.0,26-192 U/L,,OK
CHEM,Clinical Chemistry,CARD,Cardiac Markers,TRPS,"Troponin T, 5th Generation, Plasma",TRPS,"Troponin T, 5th Generation, Plasma",ng/L,NUMERIC,M,0,36500,,,,,15.0,< or =15 ng/L,"Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,CARD,Cardiac Markers,TRPS,"Troponin T, 5th Generation, Plasma",TRPS,"Troponin T, 5th Generation, Plasma",ng/L,NUMERIC,F,0,36500,,,,,10.0,< or =10 ng/L,"Threshold value (guideline-based), verify interpretation",OK
